compressor name,input_file(B),data_type,compression_ratio,compress_time(s),mode,error_bound,decompress_time(s),ori_size(B),qcat_ssim,range,ori_mean,ori_var,ori_std,dec_mean,dec_var,dec_std,max_abs_error,max_rel_error_,max_pw_rel_error,psnr,nrmse,normerr,normerr_norm,pearson,err_std
sperr,baryon_density.f32,single precision,1276.0795,1.3043,REL,1e-4,0.6476,536870912,0.424008,115862.23106553406,1.0000000000940288,576.6802175763531,24.01416701816561,0.9990741091806492,576.6843844483404,24.014253776629005,11.5848922729,0.0001,38.804369,107.802143,4.072797648949137e-06,5466.881521,0.019633,0.999807,0.4718825139
sperr,baryon_density.f32,single precision,7040.5607,1.2701,REL,1e-3,0.634,536870912,0.069467,115862.23106553406,1.0000000000940288,576.6802175763531,24.01416701816561,1.0373911011106678,576.8859028210882,24.018449217655334,115.8407592773,0.001,224.018506,95.727741,1.6353583768684926e-05,21951.275907,0.078814,0.996889,1.8943937289
sperr,baryon_density.f32,single precision,58419.0329,1.2573,REL,1e-2,0.6246,536870912,0.015707,115862.23106553406,1.0000000000940288,576.6802175763531,24.01416701816561,1.0873226728317202,572.2984700512486,23.922760502317633,1155.3913574219,0.009972,1040.321646,86.093285,4.9583337962581724e-05,66555.291329,0.239893,0.97129,5.7441724598
