compressor name,compression_ratio,compress_time,mode,error_bound,max_abs_error,max_rel_error_,max_pw_rel_error,psnr,nrmse,normerr,normerr_norm,pearson,qcat_ssim
sz3,17661.3893,2.3211,REL,1e-3,115.8581542969,0.001,551.027956,92.43055,2.390410618017881e-05,32086.277693,0.115109,0.993856,0.00446
sz3,118097.4289,3.9267,REL,1e-2,1158.5703125,0.01,1467.775982,84.520126,5.942835261273043e-05,79770.170462,0.281247,0.960499,0.000481
